file	line	kind	name	uses	vetting	body_head	red_flags
Jacobians/ProjectiveCurve/Hyperelliptic/Basic.lean	56	def	hasBranchAtInfinity	3	used	Odd H.f.natDegree  /-- **Faithfulness witness** for `hasBran	
Jacobians/ProjectiveCurve/Hyperelliptic/Basic.lean	70	def	HyperellipticAffine	523	used	{ p : ℂ × ℂ // p.2 ^ 2 = H.f.eval p.1 }  namespace Hyperelli	
Jacobians/ProjectiveCurve/Hyperelliptic/Basic.lean	158	def	HyperellipticOdd	87	used	OnePoint (HyperellipticAffine H)  namespace HyperellipticOdd	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	47	def	HyperellipticAffineInfinity	265	used	{ p : ℂ × ℂ // p.2 ^ 2 = (Polynomial.reverse H.f).eval p.1 }	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	54	nc-def	mirrorMonoidHom	2	used	Polynomial.mirror   map_one' := by     change Polynomial.rev	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	155	nc-def	reverseData	162	used	H.f.reverse   h_squarefree := squarefree_reverse H   h_degre	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	239	def	HyperellipticEvenPre	68	used	HyperellipticAffine H ⊕ HyperellipticAffineInfinity H  insta	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	259	def	HyperellipticEvenGlue	50	used		
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	268	def	hyperellipticEvenSetoid	69	used	Relation.EqvGen (HyperellipticEvenGlue H)   iseqv := Relatio	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	276	def	HyperellipticEvenProj	270	used	Quotient (hyperellipticEvenSetoid H)  /-- **Quotient topolog	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	718	def	affineOverlap	11	used	{ a : HyperellipticAffine H // a.val.1 ≠ 0 }	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	721	def	infinityOverlap	11	used	{ b : HyperellipticAffineInfinity H // b.val.1 ≠ 0 }  instan	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	744	nc-def	affineToInfinityOverlap	6	used	fun a =>   ⟨⟨(a.1.val.1⁻¹, a.1.val.2 * a.1.val.1⁻¹ ^ (H.f.na	
Jacobians/ProjectiveCurve/Hyperelliptic/Even.lean	750	nc-def	infinityToAffineOverlap	7	used	fun b =>   ⟨⟨(b.1.val.1⁻¹, b.1.val.2 * b.1.val.1⁻¹ ^ (H.f.na	
